label,hdate,hdate_end,approx_year,description,url,max_xrange_years
Integrated Circuit,Between 1958 and 1959,,1958,,https://en.wikipedia.org/wiki/Integrated_circuit#History,
Hovercraft,1959,,1959,,https://en.wikipedia.org/wiki/Hovercraft#SR.N1,150
Arpanet,1969,,1969,,https://en.wikipedia.org/wiki/ARPANET#ARPANET_deployed,150
Pocket Calculator,1970,,1970,,https://en.wikipedia.org/wiki/Calculator#Pocket_calculators,150
Microprocessor,1971,,1971,,https://en.wikipedia.org/wiki/Microprocessor,200
Lithium-ion Battery,1974,,1974,,https://en.wikipedia.org/wiki/Lithium-ion_battery,200
Public-key cryptography ,Between 1973 and 1976,,1976,,https://en.wikipedia.org/wiki/Public-key_cryptography#Public_discovery,150
GPS,1978,,1978,,https://en.wikipedia.org/wiki/Global_Positioning_System#Timeline_and_modernization,200
Satellite TV,1982,,1982,,https://en.wikipedia.org/wiki/Satellite_television,200
Mobile Phone,1984,,1984,,https://en.wikipedia.org/wiki/Mobile_phone#History,
DNA Profiling,Between 1983 and 1985,,1984,,https://en.wikipedia.org/wiki/DNA_profiling,200
World Wide Web,1989,,1989,,https://en.wikipedia.org/wiki/World_Wide_Web#History,
Search Engine,1990,,1990,,https://en.wikipedia.org/wiki/Archie_(search_engine),200
Smartphone,1992,,1992,,https://en.wikipedia.org/wiki/IBM_Simon,200
Bluetooth,Between 1994 and 1997,,1994,,https://en.wikipedia.org/wiki/Bluetooth,200
DVD,1995,,1995,,https://en.wikipedia.org/wiki/DVD#History,200
Blockchain / Bitcoin,2009,,2009,,https://en.wikipedia.org/wiki/Satoshi_Nakamoto#Development_of_bitcoin,
